GID,Input_Genus,Input_Family,Input_Order,Greengenes_OTU,Greengenes_Taxonomy,Match_Score,Match_Type
110,Azospira,Rhodocyclaceae,Rhodocyclales,690515,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Azospira; s__,1.0,exact_genus
140,Brachybacterium,Dermabacteraceae,Actinomycetales,519902,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__,1.0,exact_genus
145,Brevibacterium,Brevibacteriaceae,Actinomycetales,1134896,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Brevibacteriaceae; g__Brevibacterium; s__,1.0,exact_genus
154,Bulleidia,Erysipelotrichaceae,Erysipelotrichales,336037,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia; s__,1.0,exact_genus
214,Clostridium,Clostridiaceae,Clostridiales,1124194,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,1.0,exact_genus
229,Corynebacterium,Corynebacteriaceae,Actinomycetales,1042616,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,1.0,exact_genus
300,Enterococcus,Enterococcaceae,Lactobacillales,543824,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__,1.0,exact_genus
354,Halomonas,Halomonadaceae,Oceanospirillales,716727,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__,1.0,exact_genus
408,Legionella,Legionellaceae,Legionellales,838066,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__,1.0,exact_genus
470,Mycobacterium,Mycobacteriaceae,Actinomycetales,2651333,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__,1.0,exact_genus
471,Mycoplana,Caulobacteraceae,Caulobacterales,1125570,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Mycoplana; s__,1.0,exact_genus
474,Neisseria,Neisseriaceae,Neisseriales,355750,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__,1.0,exact_genus
491,Novosphingobium,Sphingomonadaceae,Sphingomonadales,89388,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__,1.0,exact_genus
497,Oerskovia,Cellulomonadaceae,Actinomycetales,4320905,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Oerskovia; s__,1.0,exact_genus
503,Opitutus,Opitutaceae,Opitutales,4379512,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__,1.0,exact_genus
512,Oxobacter,Clostridiaceae,Clostridiales,586332,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Oxobacter; s__,1.0,exact_genus
526,Paracoccus,Rhodobacteraceae,Rhodobacterales,370584,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__,1.0,exact_genus
549,Phenylobacterium,Caulobacteraceae,Caulobacterales,4328978,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium; s__,1.0,exact_genus
566,Prevotella,Prevotellaceae,Bacteroidales,4449524,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__,1.0,exact_genus
581,Psb-m-3,Erysipelotrichaceae,Erysipelotrichales,4326986,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__PSB-M-3; s__,1.0,exact_genus
584,Pseudoalteromonas,Pseudoalteromonadaceae,Vibrionales,562023,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__,1.0,exact_genus
687,Streptococcus,Streptococcaceae,Lactobacillales,523025,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,1.0,exact_genus
712,Tepidimonas,Comamonadaceae,Burkholderiales,546567,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Tepidimonas; s__,1.0,exact_genus
727,Thiobacillus,Hydrogenophilaceae,Hydrogenophilales,147946,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Thiobacillus; s__,1.0,exact_genus
6,Acetobacterium,Eubacteriaceae,Clostridiales,4366937,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Acetobacterium; s__,1.0,exact_genus
7,Achromobacter,Alcaligenaceae,Burkholderiales,220314,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__,1.0,exact_genus
13,Acidisoma,Acetobacteraceae,Rhodospirillales,581747,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidisoma; s__,1.0,exact_genus
17,Acidovorax,Comamonadaceae,Burkholderiales,141042,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__,1.0,exact_genus
30,Afipia,Bradyrhizobiaceae,Rhizobiales,313427,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Afipia; s__,1.0,exact_genus
89,Anoxybacillus,Bacillaceae,Bacillales,4439125,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__,1.0,exact_genus
113,Bacillus,Bacillaceae,Bacillales,239470,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__,1.0,exact_genus
136,Blastomonas,Sphingomonadaceae,Sphingomonadales,2251859,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas; s__,1.0,exact_genus
143,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,259272,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__,1.0,exact_genus
146,Brevundimonas,Caulobacteraceae,Caulobacterales,329940,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__,1.0,exact_genus
198,Caulobacter,Caulobacteraceae,Caulobacterales,866365,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter; s__,1.0,exact_genus
206,Chryseobacterium,Weeksellaceae,Flavobacteriales,219549,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__,0.6666666666666666,exact_genus
245,Dechloromonas,Rhodocyclaceae,Rhodocyclales,156371,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Dechloromonas; s__,1.0,exact_genus
267,Desulfomicrobium,Desulfomicrobiaceae,Desulfovibrionales,10413,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfomicrobiaceae; g__Desulfomicrobium; s__,1.0,exact_genus
269,Desulfosporosinus,Peptococcaceae,Clostridiales,4424709,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfosporosinus; s__,1.0,exact_genus
270,Desulfotomaculum,Peptococcaceae,Clostridiales,4450598,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfotomaculum; s__,1.0,exact_genus
271,Desulfovibrio,Desulfovibrionaceae,Desulfovibrionales,4308446,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__,1.0,exact_genus
296,Enhydrobacter,Moraxellaceae,Pseudomonadales,823916,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter; s__,1.0,exact_genus
304,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,4345999,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelothrix; s__,1.0,exact_genus
322,Flavisolibacter,Chitinophagaceae,Saprospirales,4010666,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__,0.8333333333333334,exact_genus
344,Geothrix,Holophagaceae,Holophagales,4354822,k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Geothrix; s__,1.0,exact_genus
360,Herbaspirillum,Oxalobacteraceae,Burkholderiales,3275744,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herbaspirillum; s__,1.0,exact_genus
371,Hydrogenophaga,Comamonadaceae,Burkholderiales,530377,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__,1.0,exact_genus
462,Micrococcus,Micrococcaceae,Actinomycetales,4422405,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__,1.0,exact_genus
484,Nitrospira,Nitrospiraceae,Nitrospirales,4303815,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__,1.0,exact_genus
572,Propionibacterium,Propionibacteriaceae,Actinomycetales,652276,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__,1.0,exact_genus
575,Propionivibrio,Rhodocyclaceae,Rhodocyclales,1688393,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Propionivibrio; s__,1.0,exact_genus
587,Pseudomonas,Pseudomonadaceae,Pseudomonadales,104313,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__,1.0,exact_genus
591,Pseudoxanthomonas,Xanthomonadaceae,Xanthomonadales,4345543,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas; s__,1.0,exact_genus
596,Ralstonia,Oxalobacteraceae,Burkholderiales,339616,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Ralstonia; s__,1.0,exact_genus
647,Sediminibacterium,Chitinophagaceae,Saprospirales,781203,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Sediminibacterium; s__,0.8333333333333334,exact_genus
660,Simplicispira,Comamonadaceae,Burkholderiales,120274,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Simplicispira; s__,1.0,exact_genus
664,Smithella,Syntrophaceae,Syntrophobacterales,713656,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__Smithella; s__,1.0,exact_genus
671,Sphingobium,Sphingomonadaceae,Sphingomonadales,1125313,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium; s__,1.0,exact_genus
674,Sphingomonas,Sphingomonadaceae,Sphingomonadales,3290764,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__,1.0,exact_genus
676,Sphingopyxis,Sphingomonadaceae,Sphingomonadales,722895,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis; s__,1.0,exact_genus
683,Staphylococcus,Staphylococcaceae,Bacillales,928538,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__,1.0,exact_genus
705,Syntrophus,Syntrophaceae,Syntrophobacterales,145205,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__Syntrophus; s__,1.0,exact_genus
715,Tessaracoccus,Propionibacteriaceae,Actinomycetales,529182,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Tessaracoccus; s__,1.0,exact_genus
731,Treponema,Spirochaetaceae,Spirochaetales,3918,k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__,1.0,exact_genus
863,Variovorax,Comamonadaceae,Burkholderiales,38267,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__,1.0,exact_genus
867,Wchb1-05,Anaerolinaceae,Anaerolineales,4463039,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolinaceae; g__WCHB1-05; s__,1.0,exact_genus
265,Desulfobulbus,Desulfobulbaceae,Desulfobacterales,162379,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae; g__Desulfobulbus; s__,1.0,exact_genus
332,Gallionella,Gallionellaceae,Gallionellales,638460,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Gallionellales; f__Gallionellaceae; g__Gallionella; s__,1.0,exact_genus
656,Shewanella,Shewanellaceae,Alteromonadales,4378477,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__,1.0,exact_genus
